df_paper_title,df_title_url
Enhancing CO2 solubility in the aquifer with the use of a downhole cooler tools,https://pureportal.coventry.ac.uk/en/publications/enhancing-co2-solubility-in-the-aquifer-with-the-use-of-a-downhol
The influence of temperature on wettability alteration during CO 2 storage in saline aquifers,https://pureportal.coventry.ac.uk/en/publications/the-influence-of-temperature-on-wettability-alteration-during-co-
Investigating the impact of reservoir properties and injection parameters on carbon dioxide dissolution in saline aquifers,https://pureportal.coventry.ac.uk/en/publications/investigating-the-impact-of-reservoir-properties-and-injection-pa
Experimental investigation of the impact of rock dissolution on carbonate rock properties in the presence of carbonated water,https://pureportal.coventry.ac.uk/en/publications/experimental-investigation-of-the-impact-of-rock-dissolution-on-c
Numerical simulation of countercurrent Spontaneous imbibition of carbonated water in porous media,https://pureportal.coventry.ac.uk/en/publications/numerical-simulation-of-countercurrent-spontaneous-imbibition-of-
AODV Routing Protocol Performance Analysis under MANET Attacks,https://pureportal.coventry.ac.uk/en/publications/aodv-routing-protocol-performance-analysis-under-manet-attacks
Analysis and Evaluations of Wireless LANs Security Protocols,https://pureportal.coventry.ac.uk/en/publications/analysis-and-evaluations-of-wireless-lans-security-protocols
An Active Attack on Token-Based Security Protocol,https://pureportal.coventry.ac.uk/en/publications/an-active-attack-on-token-based-security-protocol
A New Attack on Aziz-Diffie Security Protocol,https://pureportal.coventry.ac.uk/en/publications/a-new-attack-on-aziz-diffie-security-protocol
Stock Liquidity and SMEs’ Likelihood of Bankruptcy: Evidence from the US Market,https://pureportal.coventry.ac.uk/en/publications/stock-liquidity-and-smes-likelihood-of-bankruptcy-evidence-from-t
"Personalisation of power, neoliberalism and the production of corruption",https://pureportal.coventry.ac.uk/en/publications/personalisation-of-power-neoliberalism-and-the-production-of-corr
Evaluation of the use of psychometric scales in human–wildlife interaction research to determine attitudes and tolerance toward wildlife,https://pureportal.coventry.ac.uk/en/publications/evaluation-of-the-use-of-psychometric-scales-in-humanwildlife-int
An assessment of African lion Panthera leo sociality via social network analysis: prerelease monitoring for an ex situ reintroduction program,https://pureportal.coventry.ac.uk/en/publications/an-assessment-of-african-lion-panthera-leo-sociality-via-social-n-3
Does captivity influence territorial and hunting behaviour? Assessment for an ex-situ reintroduction program of African lions (Panthera leo),https://pureportal.coventry.ac.uk/en/publications/does-captivity-influence-territorial-and-hunting-behaviour-assess
"Investigating the impacts of captive origin, time and vegetation on the daily activity of African lion prides",https://pureportal.coventry.ac.uk/en/publications/investigating-the-impacts-of-captive-origin-time-and-vegetation-o
"Patch - Occupancy Survey of Elephant (Loxodonta africana) Surrounding Livingstone, Zambia",https://pureportal.coventry.ac.uk/en/publications/patch-occupancy-survey-of-elephant-loxodonta-africana-surrounding-2
Behavioral correlates between daily activity and sociality in wild and captive origin African lions,https://pureportal.coventry.ac.uk/en/publications/behavioral-correlates-between-daily-activity-and-sociality-in-wil-2
"Exploring African lion (Panthera leo) behavioural phenotypes: individual differences and correlations between sociality, boldness and behaviour",https://pureportal.coventry.ac.uk/en/publications/exploring-african-lion-panthera-leo-behavioural-phenotypes-indivi-2
Social psychology in the lion’s den,https://pureportal.coventry.ac.uk/en/publications/social-psychology-in-the-lions-den-2
A social network analysis of social cohesion in a constructed pride: Implications for ex situ reintroduction of the African Lion (Panthera leo),https://pureportal.coventry.ac.uk/en/publications/a-social-network-analysis-of-social-cohesion-in-a-constructed-pri-2
Intersectionality of ethno-cultural identities and construal of distant suffering outgroups,https://pureportal.coventry.ac.uk/en/publications/intersectionality-of-ethno-cultural-identities-and-construal-of-d
Volunteering to help conserve endangered species: An identity approach to human-animal relationships,https://pureportal.coventry.ac.uk/en/publications/volunteering-to-help-conserve-endangered-species-an-identity-appr
Defending the faith(s)? Democracy and hereditary right in England,https://pureportal.coventry.ac.uk/en/publications/defending-the-faiths-democracy-and-hereditary-right-in-england
Enacting national concerns: Anglo-British accounts of the 2002 Royal Golden Jubilee,https://pureportal.coventry.ac.uk/en/publications/enacting-national-concerns-anglo-british-accounts-of-the-2002-roy
They seem to think we’re better than you”: Framing football support as a matter of ‘national identity’,https://pureportal.coventry.ac.uk/en/publications/they-seem-to-think-were-better-than-you-framing-football-support-
Imagine: Towards an integrated and applied social psychology,https://pureportal.coventry.ac.uk/en/publications/imagine-towards-an-integrated-and-applied-social-psychology
The minority-majority conundrum in Northern Ireland: An Orange Order perspective,https://pureportal.coventry.ac.uk/en/publications/the-minority-majority-conundrum-in-northern-ireland-an-orange-ord
Who ate all the pride? Patriotic sentiment and English national football support.,https://pureportal.coventry.ac.uk/en/publications/who-ate-all-the-pride-patriotic-sentiment-and-english-national-fo
English identity and ethnic diversity in the context of UK constitutional change,https://pureportal.coventry.ac.uk/en/publications/english-identity-and-ethnic-diversity-in-the-context-of-uk-consti
"Romantic Scotland, Tragic England, Ambiguous Britain: Constructions of 'the Empire' in post devolution national accounting",https://pureportal.coventry.ac.uk/en/publications/romantic-scotland-tragic-england-ambiguous-britain-constructions-
"They’re not racist: Prejudice denial, mitigation and suppression in dialogue",https://pureportal.coventry.ac.uk/en/publications/theyre-not-racist-prejudice-denial-mitigation-and-suppression-in-
"Trying similarity, doing difference: the role of interviewer self-disclosure in interview talk with young people",https://pureportal.coventry.ac.uk/en/publications/trying-similarity-doing-difference-the-role-of-interviewer-self-d
'We are an Island': Geographical imagery and dilemmas of British identity in Scotland and in England,https://pureportal.coventry.ac.uk/en/publications/we-are-an-island-geographical-imagery-and-dilemmas-of-british-ide
For Queen and Country? National frames of reference in the talk of soldiers in England,https://pureportal.coventry.ac.uk/en/publications/for-queen-and-country-national-frames-of-reference-in-the-talk-of
Mad Cows & British Politicians: The Role of Scientific and National Identities in Managing Blame for the BSE Crisis,https://pureportal.coventry.ac.uk/en/publications/mad-cows-amp-british-politicians-the-role-of-scientific-and-natio
Broadcasting the royal role: Constructing culturally situated identities in the Princess Diana Panorama interview,https://pureportal.coventry.ac.uk/en/publications/broadcasting-the-royal-role-constructing-culturally-situated-iden
